"","Taxa1","Site1","Site2","Spearman_r","p_value","adjust_p","Annotation"
"232","Malassezia_restricta","Ax","Ac",-0.146500749822863,0.0384496168664404,0.563628994775911,NA
"233","Cutibacterium_acnes","Ch","Sc",0.144946645441188,0.0405762940910825,0.585671827855469,NA
"234","Corynebacterium_pseudogenitalium","Sc","Ac",-0.144159841964425,0.0416901732796126,0.596010001122494,NA
"235","Streptococcus_mitis_oralis_pneumoniae","Fo","Ll",0.14368729277015,0.0423714281628014,0.603224760602174,NA
"236","Cutibacterium_avidum","Fo","Sc",-0.143434446456702,0.042739768157977,0.606725102050186,NA
"237","Micrococcus_luteus","Ax","Vf",0.143212395875058,0.0430654579631188,0.610038671081187,NA
"238","Cutibacterium_acnes","Ps","Ac",0.142970074251856,0.043423252860679,0.613587842748957,NA
"239","Corynebacterium_pseudogenitalium","Ac","Ub",0.14262249218055,0.0439408164807221,0.618281589890119,NA
"240","Corynebacterium_tuberculostearicum","Ub","Ll",0.142533957482055,0.0440734710389361,0.61957030762573,NA
"241","Corynebacterium_pseudogenitalium","Sc","Vf",-0.142342244210367,0.0443618716489033,0.622454233426496,NA
"242","Staphylococcus_hominis","Ps","Ac",-0.142322112123022,0.04439224850056,0.622810438008142,NA
"243","Staphylococcus_hominis","Ps","Ub",-0.142071767847718,0.0447714445765823,0.626714067251205,NA
"244","Cutibacterium_acnes","Sc","Ll",0.141947261602592,0.0449610412117078,0.628658406844149,NA
"245","Micrococcus_luteus","Ps","Ac",-0.140290446178303,0.047548627196305,0.654015144600224,NA
"246","Staphylococcus_caprae_capitis","Ps","Fo",0.139860122735878,0.0482406645503335,0.660150133326415,NA
"247","Staphylococcus_caprae_capitis","Ch","Vf",0.139577003221265,0.0487005354901665,0.664093113976665,NA
"248","Corynebacterium_kroppenstedtii","Ac","Ub",0.139252218941415,0.049232575320507,0.669091133314649,NA
"249","Cutibacterium_granulosum","Ax","Ll",0.139111271064633,0.0494649680852106,0.671394796044693,NA
"250","Micrococcus_luteus","Ch","Ll",0.138954151070232,0.0497251008809288,0.673985067007979,NA
"251","Streptococcus_mitis_oralis_pneumoniae","Ac","Ll",0.136847056736815,0.0533250481503337,0.706473896417363,NA
"252","Cutibacterium_acnes","Ax","Vf",0.136152121281838,0.0545587009783163,0.717887244526348,NA
"253","Staphylococcus_caprae_capitis","Sc","Vf",0.13613388903731,0.0545913823337819,0.718212358639373,NA
"254","Corynebacterium_pseudogenitalium","Ch","Ll",-0.136002850247678,0.0548267468412626,0.720287925166376,NA
"255","Corynebacterium_kroppenstedtii","Sc","Ll",-0.134488134041247,0.0576088554421113,0.744725823866296,NA
"256","Streptococcus_mitis_oralis_pneumoniae","Ps","Ll",0.134177760326142,0.0581930678561613,0.749420431907582,NA
"257","Corynebacterium_pseudogenitalium","Fo","Sc",-0.134014232762098,0.0585028332403942,0.75151055533476,NA
